2022-11-12 19:50:42 status half-configured gnome-shell-common:all 42.5-0ubuntu1
2022-11-12 19:50:42 status triggers-awaited gnome-shell-common:all 42.5-0ubuntu1
2022-11-12 19:50:42 configure mutter-common:all 42.5-0ubuntu1 <none>
2022-11-12 19:50:42 status unpacked mutter-common:all 42.5-0ubuntu1
2022-11-12 19:50:42 status half-configured mutter-common:all 42.5-0ubuntu1
2022-11-12 19:50:42 status triggers-awaited mutter-common:all 42.5-0ubuntu1
2022-11-12 19:50:42 configure ubuntu-advantage-tools:arm64 27.11.3~22.04.1 <none>
2022-11-12 19:50:42 status unpacked ubuntu-advantage-tools:arm64 27.11.3~22.04.1
2022-11-12 19:50:42 status half-configured ubuntu-advantage-tools:arm64 27.11.3~22.04.1
2022-11-12 19:50:51 status installed ubuntu-advantage-tools:arm64 27.11.3~22.04.1
2022-11-12 19:50:51 configure libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.02 <none>
2022-11-12 19:50:51 status unpacked libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.02
2022-11-12 19:50:51 status half-configured libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.02
2022-11-12 19:52:47 status installed libfprint-2-2:arm64 1:1.94.3+tod1-0ubuntu2~22.04.02
2022-11-12 19:52:47 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2022-11-12 19:52:47 status half-configured mailcap:all 3.70+nmu1ubuntu1
2022-11-12 19:52:48 status installed mailcap:all 3.70+nmu1ubuntu1
2022-11-12 19:52:48 trigproc desktop-file-utils:arm64 0.26-1ubuntu3 <none>
2022-11-12 19:52:48 status half-configured desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-12 19:52:48 status installed desktop-file-utils:arm64 0.26-1ubuntu3
2022-11-12 19:52:48 trigproc hicolor-icon-theme:all 0.17-2 <none>
2022-11-12 19:52:48 status half-configured hicolor-icon-theme:all 0.17-2
2022-11-12 19:52:48 status installed hicolor-icon-theme:all 0.17-2
2022-11-12 19:52:48 trigproc gnome-menus:arm64 3.36.0-1ubuntu3 <none>
2022-11-12 19:52:48 status half-configured gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-12 19:52:48 status installed gnome-menus:arm64 3.36.0-1ubuntu3
2022-11-12 19:52:48 trigproc libglib2.0-0:arm64 2.72.1-1 <none>
2022-11-12 19:52:48 status half-configured libglib2.0-0:arm64 2.72.1-1
2022-11-12 19:52:48 status installed mutter-common:all 42.5-0ubuntu1
2022-11-12 19:52:48 status installed gnome-shell-common:all 42.5-0ubuntu1
2022-11-12 19:52:48 status installed libglib2.0-0:arm64 2.72.1-1
2022-11-12 19:52:48 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-12 19:52:48 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:52:48 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:52:48 trigproc man-db:arm64 2.10.2-1 <none>
2022-11-12 19:52:48 status half-configured man-db:arm64 2.10.2-1
2022-11-12 19:52:49 status installed man-db:arm64 2.10.2-1
2022-11-12 19:52:49 trigproc udev:arm64 249.11-0ubuntu3.6 <none>
2022-11-12 19:52:49 status half-configured udev:arm64 249.11-0ubuntu3.6
2022-11-12 19:52:51 status installed udev:arm64 249.11-0ubuntu3.6
2022-11-12 19:52:51 configure libmutter-10-0:arm64 42.5-0ubuntu1 <none>
2022-11-12 19:52:51 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:52:51 status unpacked libmutter-10-0:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status half-configured libmutter-10-0:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status installed libmutter-10-0:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 configure gir1.2-mutter-10:arm64 42.5-0ubuntu1 <none>
